,company_name,address,tel,mech
0,บริษัท สีสันนครินทร์ จำกัด,1071 ถ.ศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,02-322-2200,มี
1,บริษัท โฮมเพ้นท์ จำกัดสาขามีนบุรี-แยก มิสทีน,351/1 ถ.รามคำแหง แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240,02-540-7379-81,มี
2,บริษัท โฮมเพ้นท์ จำกัด,655/4 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,02-735-6411-3,มี
3,บริษัท สีสัน สุวินทวงศ์ จำกัด,88 หมู่ 2 ถ.สุวินทวงศ์ แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10530,02-172-5000,มี
4,บริษัท สีสันร่มเกล้า จำกัด,400 ถ.ร่มเกล้า แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,02-9151115,มี
5,หจก. โชครุ่งเรืองเพ้นท์,"574,576 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140",02-815-9237-9,มี
6,บริษัท บ้านสบาย 191 จำกัด,74/1-2 ถ.พุทธมณฑลสาย 2 แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,081-916-6679,มี
7,บริษัท เกรียงยงอิมเพ็กซ์ จำกัด,2349-2355 ถ.ลาดพร้าว แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310,02-530-0531-8,มี
8,บริษัท สุดีเพ้นท์เซ็นเตอร์ จำกัด,"797,799 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240","02-374-2540, 374-7346",มี
9,บริษัท โฮมเพ้นท์ จำกัด สาขา รัตนาธิเบศร์-ราชพฤกษ์,19/12 หมู่ 5 ถ.ราชพฤกษ์ ต.บางรักน้อย อ.เมืองนนทบุรี จ.นนทบุรี 11000,02-191-9893,มี
10,บริษัท โฮมเพ้นท์ จำกัดสาขากาญจนาภิเษก- บางใหญ่,51 หมู่ 1 ถ.กาญจนาภิเษก ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140,02-595-5172-3,มี
11,บริษัท โฮมเพ้นท์ จำกัดสาขาบางบัวทอง-กาญจนาภิเษก,57/4 หมู่ที่ 13 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,02-194-4861-2,มี
12,บริษัท โฮมเพ้นท์ จำกัดสาขาปิ่นเกล้า- ราชพฤกษ์,110/6-9 ม.5 ถ.ราชพฤกษ์ ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130,02-243-3215-7,มี
13,บริษัท อดิสรณ์ การช่าง จำกัด,2/101 หมู่ที่ 13 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,,ไม่มี
14,บริษัท โฮมเพ้นท์ จำกัดสาขาศรีนครินทร์- บางนา,437/7-9 ถ.ศรีนครินทร์ ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,02-383-4789,มี
15,แสงชัยโลหะกิจ 2,"937,939 ถ.เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160",02-420-0718,มี
16,บริษัท ทรัพย์รุ่งเรือง (1991) จำกัด,52/24 ถ.พุทธมณฑล สาย 3 แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,085-841-1148,ไม่มี
17,รุ่งโรจน์ค้าไม้,146-148 ถ.บางขุนนนท์ แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170,"02-433-5623, 02-433-2365",ไม่มี
18,เสริมเจริญ ซัพพลาย,77/4 หมู่ที่ 2 ถ.ฉิมพลี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,02-448-7204,ไม่มี
19,บริษัท ตั้งเจริญ แมททีเรียล แอนด์ ซัพพลาย จำกัด,7/1 หมู่ที่ 18 ถ.บรมราชชนนี แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,02-885-8403,ไม่มี
20,บริษัท จิตไพศาลเทรดดิ้ง จำกัด,1 ซ.เพชรเกษม 112 แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,02-420-7058,ไม่มี
21,จงมีชัยค้าวัสดุ,"38,40 ถ.ชักพระ แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170","02-434-8310, 433-3382",ไม่มี
22,เปงเฮงฮวดสามพราน,16/8-9 ถ.เพชรเกษม ต.ท่าตลาด อ.สามพราน จ.นครปฐม 73110,"034-222841, 222842",ไม่มี
23,บริษัท โทเทิล บิลติ้ง โปรดักส์ จำกัด,177/9 หมู่ที่ 5 ถ.ศาลายา-บางภาษี ต.ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,"034-246-289, 034-246-780",มี
24,บริษัท ทรัพย์ศิริ 2013 จำกัด,45/11 หมู่ที่ 2 ถ.พุทธมณฑลสาย 5 ต.บางกระทึก อ.สามพราน จ.นครปฐม 73210,086-677-7997,ไม่มี
25,เจริญใจฮาร์ดแวร์,50/180 หมู่ที่ 13 ถ.พุทธมณฑลสาย 5 ต.ไร่ขิง อ.สามพราน จ.นครปฐม 73210,,มี
26,หจก. ถาวรพัฒน์วัสดุภัณฑ์,8/88 หมู่ที่ 9 ต.ไร่ขิง อ.สามพราน จ.นครปฐม 73210,,ไม่มี
