,company_name,address,tel,mech,lat,lon
0,บริษัท สีสันนครินทร์ จำกัด,1071 ถ.ศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,02-322-2200,มี,13.7056007,100.6455495
1,บริษัท โฮมเพ้นท์ จำกัดสาขามีนบุรี-แยก มิสทีน,351/1 ถ.รามคำแหง แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240,02-540-7379-81,มี,13.7930282,100.7019286
2,บริษัท โฮมเพ้นท์ จำกัด,655/4 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,02-735-6411-3,มี,13.7703648,100.6619595
3,บริษัท สีสัน สุวินทวงศ์ จำกัด,88 หมู่ 2 ถ.สุวินทวงศ์ แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10530,02-172-5000,มี,13.8084914,100.818873
4,บริษัท สีสันร่มเกล้า จำกัด,400 ถ.ร่มเกล้า แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,02-9151115,มี,13.773251,100.7462263
5,หจก. โชครุ่งเรืองเพ้นท์,"574,576 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140",02-815-9237-9,มี,13.615771,100.5111147
6,บริษัท บ้านสบาย 191 จำกัด,74/1-2 ถ.พุทธมณฑลสาย 2 แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,081-916-6679,มี,13.7157546,100.3959206
7,บริษัท เกรียงยงอิมเพ็กซ์ จำกัด,2349-2355 ถ.ลาดพร้าว แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310,02-530-0531-8,มี,13.78828181,100.6046311
8,บริษัท สุดีเพ้นท์เซ็นเตอร์ จำกัด,"797,799 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240","02-374-2540, 374-7346",มี,13.7618411,100.6371842
9,บริษัท โฮมเพ้นท์ จำกัด สาขา รัตนาธิเบศร์-ราชพฤกษ์,19/12 หมู่ 5 ถ.ราชพฤกษ์ ต.บางรักน้อย อ.เมืองนนทบุรี จ.นนทบุรี 11000,02-191-9893,มี,13.8870961,100.4506178
10,บริษัท โฮมเพ้นท์ จำกัดสาขากาญจนาภิเษก- บางใหญ่,51 หมู่ 1 ถ.กาญจนาภิเษก ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140,02-595-5172-3,มี,13.8554175,100.4119646
11,บริษัท โฮมเพ้นท์ จำกัดสาขาบางบัวทอง-กาญจนาภิเษก,57/4 หมู่ที่ 13 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,02-194-4861-2,มี,13.9319343,100.415632
12,บริษัท โฮมเพ้นท์ จำกัดสาขาปิ่นเกล้า- ราชพฤกษ์,110/6-9 ม.5 ถ.ราชพฤกษ์ ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11130,02-243-3215-7,มี,13.8074956,100.4499584
13,บริษัท อดิสรณ์ การช่าง จำกัด,2/101 หมู่ที่ 13 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,,ไม่มี,,
14,บริษัท โฮมเพ้นท์ จำกัดสาขาศรีนครินทร์- บางนา,437/7-9 ถ.ศรีนครินทร์ ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,02-383-4789,มี,13.6428991,100.6360347
15,แสงชัยโลหะกิจ 2,"937,939 ถ.เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160",02-420-0718,มี,13.745692,100.223785
